Revenue
178533
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
73,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
74,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
75,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
76,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
77,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
78,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
79,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
80,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
81,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
82,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
83,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
84,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
85,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
86,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
87,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
88,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
89,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
90,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
91,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
92,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
93,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
94,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
95,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
96,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
97,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
98,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
99,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
100,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
101,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
102,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
